time,latitude,longitude,depth,mag,place
2024-10-28 13:08:40.107000+00:00,27.8734,94.0243,36.279,4.6,"35 km NNE of Ziro, India"
2024-10-14 07:02:47.293000+00:00,25.7736,96.5117,10.0,4.3,"56 km SSW of Sarupathar, India"
2024-10-13 02:17:21.930000+00:00,25.7423,92.7762,10.0,4.4,"29 km SSW of Hojāi, India"
2024-10-10 01:10:38.951000+00:00,12.2283,93.8736,156.02,4.2,"137 km ENE of Port Blair, India"
2024-10-07 03:12:20.205000+00:00,9.3258,93.8346,10.0,4.2,"284 km SSE of Port Blair, India"
2024-10-02 09:12:03.300000+00:00,24.4783,94.5004,111.078,4.4,"45 km ESE of Wāngjing, India"
2024-10-01 19:05:28.054000+00:00,11.348,93.901,177.767,4.1,"130 km ESE of Port Blair, India"
2024-09-30 08:06:58.239000+00:00,21.343,77.2016,10.0,4.4,"22 km NNW of Anjangaon, India"
2024-09-29 08:39:06.984000+00:00,10.1076,92.9732,78.618,4.3,"174 km S of Port Blair, India"
2024-09-26 11:00:47.274000+00:00,25.9504,92.5251,10.0,4.3,"31 km S of Rahā, India"
2024-09-24 09:24:24.060000+00:00,12.6154,93.5592,86.076,4.6,"136 km NE of Bamboo Flat, India"
2024-09-23 19:03:59.562000+00:00,20.7407,89.4934,10.0,4.2,"173 km SSE of Gosāba, India"
2024-09-23 02:50:11.148000+00:00,10.6333,91.5652,10.0,4.6,"172 km SW of Port Blair, India"
2024-09-21 18:42:21.342000+00:00,10.4981,91.6346,10.0,4.3,"177 km SW of Port Blair, India"
2024-09-21 16:41:36.445000+00:00,10.5828,91.6213,10.0,4.9,"171 km SW of Port Blair, India"
2024-09-19 05:20:57.102000+00:00,10.461,91.6084,10.0,5.2,"182 km SW of Port Blair, India"
2024-09-17 20:02:04.835000+00:00,12.3234,92.4484,10.0,4.3,"74 km NNW of Bamboo Flat, India"
2024-09-17 04:22:57.909000+00:00,8.8806,90.5829,10.0,4.6,"Nicobar Islands, India region"
2024-09-14 10:56:45.207000+00:00,6.185,92.1763,10.0,4.9,"Nicobar Islands, India region"
2024-09-13 13:55:31.971000+00:00,11.7524,95.123,10.0,4.4,"259 km E of Port Blair, India"
2024-09-13 09:22:52.460000+00:00,11.6903,95.0031,10.0,4.7,"246 km E of Port Blair, India"
2024-09-01 03:42:49.557000+00:00,8.1965,91.7229,10.0,5.2,"Nicobar Islands, India region"
2024-08-28 03:55:42.946000+00:00,8.7146,93.8405,87.199,4.6,"Nicobar Islands, India region"
2024-08-25 09:21:25.130000+00:00,10.1655,93.8669,10.0,4.7,"206 km SE of Port Blair, India"
2024-08-21 16:52:25.115000+00:00,34.2324,74.1045,10.0,3.6,"17 km NNE of Uri, India"
2024-08-21 16:45:24.944000+00:00,13.3206,93.1216,27.18,4.5,"184 km NNE of Bamboo Flat, India"
2024-08-21 13:16:15.518000+00:00,11.3998,93.7376,117.226,4.3,"112 km ESE of Port Blair, India"
2024-08-20 01:22:26.354000+00:00,34.1873,74.2881,13.738,4.5,"5 km WSW of Bāramūla, India"
2024-08-20 01:15:55.090000+00:00,34.1613,74.2677,14.076,5.1,"8 km SW of Bāramūla, India"
2024-08-14 23:06:45.518000+00:00,25.1793,94.6614,10.0,4.2,"56 km SSE of Phek, India"
2024-08-09 04:23:35.025000+00:00,31.6473,76.9775,10.0,3.6,"7 km WSW of Pāndoh, India"
2024-08-09 01:27:10.980000+00:00,27.1586,88.1937,35.0,4.5,"5 km NW of Naya Bāzār, India"
2024-07-30 01:33:35.216000+00:00,13.2054,93.5461,47.094,4.5,"189 km NNE of Bamboo Flat, India"
2024-07-27 15:24:26.026000+00:00,9.1069,92.742,36.503,4.4,"283 km S of Port Blair, India"
2024-07-20 12:04:59.754000+00:00,33.456,76.6373,43.578,4.1,"23 km W of Padam, India"
2024-07-12 06:56:22.699000+00:00,34.1455,74.3501,13.68,4.4,"7 km S of Bāramūla, India"
2024-07-10 01:44:52.060000+00:00,19.4402,77.2915,10.0,4.4,"18 km NE of Basmat, India"
2024-07-05 17:14:36.604000+00:00,24.997,95.2533,130.497,4.4,"106 km SE of Phek, India"
2024-07-04 21:12:27.022000+00:00,24.3726,92.6936,35.0,4.4,"16 km N of Kolasib, India"
2024-06-30 07:10:58.147000+00:00,10.2616,93.7841,10.0,4.4,"192 km SE of Port Blair, India"
2024-06-28 17:16:45.100000+00:00,10.1256,93.6765,10.0,5.0,"198 km SSE of Port Blair, India"
2024-06-26 13:39:33.305000+00:00,24.3949,93.8041,57.577,4.6,"11 km SSE of Moirāng, India"
2024-06-26 01:24:13.616000+00:00,8.0633,90.4103,10.0,5.6,"Nicobar Islands, India region"
2024-06-26 00:56:22.555000+00:00,10.2337,93.8875,10.0,4.5,"196 km SE of Port Blair, India"
2024-06-25 02:39:50.640000+00:00,10.0181,93.737,10.0,4.3,"212 km SSE of Port Blair, India"
2024-06-10 10:10:36.968000+00:00,7.3748,92.0633,10.0,4.7,"Nicobar Islands, India region"
